User_ID,Duration,Heart_Rate,Body_Temp
4,32,85,40.8
4,13,89,40.6
5,9,101,39.1
5,24,113,40.7
3,8,93,39.7
1,4,104,38.8
2,43,73,39.7
3,11,114,39.6
2,33,98,39.1
1,34,78,38.6
1,7,115,40.3
5,17,89,39
3,38,112,40.8
2,29,107,38.5
5,41,84,39.7
2,4,95,40.7
3,18,74,40.6
5,24,106,38.7
3,37,119,39.8
1,8,82,38
4,24,88,41
2,44,93,38.1
3,22,101,39.3
1,32,81,39.7
2,18,108,39.1
2,43,119,40.8
3,24,81,40.3
4,5,113,39.8
3,33,100,38.3
2,35,88,39
5,5,107,38.1
4,30,91,39.2
2,13,103,39.6
2,45,114,38.2
3,15,109,39.5
5,9,85,40.4
1,19,88,38.5
4,18,102,38.6
1,42,115,40
1,11,98,38.4
3,39,91,38.5
1,30,78,39
5,9,81,38.2
2,43,94,38.7
3,18,101,38.7
1,37,89,38.6
1,22,73,40.4
4,1,95,38.7
3,40,83,39.9
1,27,87,39
2,34,107,39.1
3,25,100,40.7
1,41,78,38.7
2,11,94,40.7
2,45,99,40.8
3,11,74,39
3,5,75,40
4,7,85,39.2
2,31,113,39.3
2,20,103,40.5
4,24,111,40.8
5,20,97,39.6
3,43,100,39.7
2,35,117,38.8
3,43,114,40.3
3,7,120,39.5
2,19,88,38.9
5,35,107,39.8
3,6,115,38.6
2,7,117,40.6
2,33,114,38.6
2,40,87,40.1
1,11,86,39.9
4,8,91,40.8
2,30,88,40.6
3,32,100,40.6
5,5,111,38.8
1,34,79,39.2
3,3,107,40
4,39,84,39.1
5,37,86,38.7
2,14,111,40
2,32,80,38.2
2,25,80,40.1
3,12,73,40.1
5,14,73,40
5,31,78,39.1
3,27,87,40.6
2,22,118,38.7
4,26,109,39
5,31,101,38
2,11,73,40.4
2,25,100,38.4
3,39,95,38.8
5,4,85,40.7
2,42,112,40.7
3,13,83,40.4
1,40,85,40.7
3,30,92,38.2
2,38,81,40.4
3,4,99,40.1
4,10,110,41
3,38,91,40.1
3,4,88,38.1
5,40,102,39.7
3,23,75,38.2
5,29,81,39.4
1,25,89,38.7
3,33,79,38.4
4,17,104,39.1
5,38,108,38.5
4,31,102,38.9
4,7,80,38
3,19,106,39.4
5,3,75,38.4
3,31,99,38.2
1,13,103,38.5
1,15,80,38.8
5,44,76,39.2
5,30,86,38.3
3,15,85,38
2,41,80,39.5
4,8,107,38.8
1,6,115,39.7
3,19,102,40.5
1,9,91,39
2,31,78,38.9
1,43,77,40.6
5,40,118,38.4
3,37,100,40.2
5,32,83,39.8
4,24,111,39
3,3,107,39
1,22,101,39.1
2,6,98,40.7
2,18,98,39.8
3,10,91,39
5,18,93,39.3
5,9,85,40.6
4,1,106,40.5
3,3,86,39.4
1,10,81,38.3
5,21,99,39
2,22,98,38.5
4,44,73,39.6
1,19,100,39
2,21,87,40.3
2,2,90,39.1
1,2,84,40.6
1,39,116,40.6
1,29,81,41
2,34,90,40.8
4,22,120,40.1
1,38,109,40.7
2,17,88,40.1
1,23,114,40.9
2,45,101,38.1
1,20,103,40.8
3,17,103,40.8
2,35,82,38.2
1,23,95,39.8
3,3,101,40.8
5,4,97,39.5
5,8,88,39.6
1,2,80,39
4,26,81,40.4
2,9,98,40.9
3,16,87,40.1
1,7,117,39.2
5,39,81,40
1,28,98,40.9
2,27,118,38.8
5,10,115,40.5
3,8,117,39.5
5,9,116,39.7
5,11,111,40.8
4,25,110,39.4
2,11,81,38
3,20,115,39.5
1,25,116,39.7
4,27,92,38.7
3,37,116,40.9
1,17,74,40.9
2,1,92,40.3
4,17,88,39.6
1,14,90,38.4
2,45,100,40.4
4,10,113,40.8
5,1,116,38.8
3,12,89,39.7
1,17,120,40.6
2,25,81,39.5
2,38,111,39.5
4,29,92,38.3
5,42,74,38.3
3,26,77,39.7
5,3,112,40.4
5,16,80,39.3
5,39,104,39.1
2,44,78,38.6
3,23,93,39.1
2,11,88,39.3
4,32,91,40
2,22,98,39.9
4,3,88,39.5
2,2,97,40.2
4,3,101,39.4
5,4,109,39
2,22,77,39.5
3,9,84,38.3
1,33,91,39.5
5,43,118,39.5
5,8,103,40.6
3,5,106,40.3
2,40,103,38.2
4,39,94,39.4
2,14,118,40
1,10,117,40.9
4,34,77,40.7
3,27,113,40.9
2,35,117,38.2
3,4,114,38.9
5,45,107,38.1
4,36,88,40.2
3,15,103,39.4
1,42,97,39.3
1,41,81,39.2
2,40,88,39.9
1,42,117,40.1
3,25,74,41
2,26,85,39.1
5,1,83,38.1
4,10,120,38.2
4,11,101,38.7
5,17,100,39.1
5,14,87,39.2
1,2,101,40.8
1,19,91,38.8
2,10,97,40.7
4,32,75,39
1,45,80,39.9
2,16,101,39
3,33,89,38.3
5,11,97,40.2
1,12,111,39.8
5,7,92,38.8
4,26,90,40.9
2,14,78,39.1
4,37,80,38.7
4,39,76,39.5
5,14,81,39
2,32,115,39.6
2,34,91,38.9
1,24,102,40.2
5,44,110,39.6
4,37,108,39.8
4,39,113,39.5
3,43,85,39.4
3,43,77,38.3
3,30,83,40.8
1,37,83,38.5
3,33,73,38.9
2,22,92,40.4
1,20,91,39.9
2,7,89,39.6
2,28,90,38.8
2,18,106,40.6
2,4,84,40.6
1,16,88,40.1
3,40,75,39.4
3,43,77,39.7
3,18,98,39.5
4,33,94,40.3
1,23,98,40.6
4,43,94,40.5
1,11,73,39.7
4,17,77,39.6
2,12,77,38.1
1,1,75,38.1
4,12,96,39.5
4,5,100,39.2
1,45,75,38.8
3,2,86,38.1
3,45,82,39
4,24,99,39.5
4,27,119,39.9
2,35,73,38.6
2,39,103,41
5,6,104,38.1
1,34,116,40
4,2,82,39.7
1,33,101,40.6
3,17,96,40.4
1,4,99,40.6
2,28,76,38.3
5,12,105,38.8
3,41,90,39.6
2,35,103,40.6
4,12,108,39.4
3,25,106,38.5
2,32,90,39.7
5,36,87,38.5
2,35,94,40.5
4,19,120,40.8
4,22,115,40.5
5,5,74,39.6
5,7,103,39
3,24,111,38.9
1,25,115,38.1
4,3,90,40.9
4,6,92,39.2
1,3,96,39
5,29,119,39.8
1,3,106,40.8
1,15,94,40.7
4,28,74,38.4
3,22,112,40.4
2,39,100,38.9
4,16,102,39.6
5,21,75,38.4
2,9,92,40.9
1,13,119,39.8
4,29,102,39.8
2,18,78,40
3,16,99,39.5
1,32,82,40
1,44,105,39.6
4,42,101,39.6
2,45,83,39.3
2,39,107,38
3,7,116,39.8
5,44,76,39
3,37,120,41
2,1,82,38.7
3,19,86,40.9
2,35,85,38.5
3,41,77,39.2
1,7,85,39.7
5,28,108,41
2,40,106,39.2
3,34,87,39
1,4,115,39.6
2,34,88,40.7
1,32,107,40.4
5,16,89,39.4
4,39,103,38.7
3,22,108,40.7
5,26,78,40.8
3,28,96,38.2
4,36,89,39.7
1,40,114,39.5
3,38,111,38.1
4,22,106,39.8
3,23,101,38.5
5,38,76,41
2,43,101,38.6
3,21,73,40.2
2,14,75,39.7
2,14,100,40
2,36,98,39.9
5,41,89,39
4,39,73,38.6
4,35,103,40.5
1,14,86,38.6
1,17,88,40.8
3,37,116,40.3
4,4,101,38.1
1,17,87,38.8
4,1,114,40.3
3,6,77,39.8
1,25,119,40
2,27,107,40.1
3,2,77,40.7
4,40,119,40.1
5,12,119,40.5
3,18,79,39.4
5,3,75,39.5
5,42,110,38.8
4,31,90,40.9
5,34,99,39.5
3,44,77,39.8
1,32,100,38.9
2,18,80,38.7
2,23,75,40.4
1,24,102,40.6
3,22,87,39.9
2,22,106,40.8
4,17,85,38.9
2,5,117,39.2
5,17,74,39.8
5,22,114,39.1
5,8,92,38.2
1,44,117,39.8
1,44,106,40.7
1,31,120,39.6
2,39,120,39.2
5,20,75,39.5
1,44,107,38.5
3,23,96,39.6
2,31,78,38.2
5,36,83,39.6
5,42,88,40.1
1,27,106,40.7
2,3,109,39.7
1,12,118,39.9
1,37,77,40.9
5,39,103,39.7
1,4,109,38.8
1,31,108,40.1
3,37,112,39.3
3,17,119,39.7
3,37,99,40.2
2,17,112,39.6
1,35,87,40.6
2,20,105,38.3
1,17,74,38.3
1,24,98,40.6
3,29,113,40.6
2,7,111,40.4
3,11,116,38.5
5,28,112,40.1
2,13,83,40.9
3,10,75,39.5
2,42,117,38.2
5,5,82,40.6
4,4,105,40
3,26,100,39.8
5,5,106,40.2
2,12,98,39.6
1,6,108,39.2
3,32,104,40.7
1,28,109,38.3
1,24,101,38.3
1,23,77,38.9
3,13,120,40.6
2,12,91,41
2,39,84,38.2
1,42,90,38.4
2,30,111,40.6
2,24,75,39
4,12,119,38.6
5,24,108,40.3
3,33,94,40.5
5,24,96,40.1
4,30,109,38.3
5,23,100,40
5,38,113,40.6
1,24,95,40.7
3,31,95,40.4
5,35,120,38.2
5,4,110,38.9
3,9,76,38.9
5,27,116,38.7
4,25,81,39.3
3,41,88,39.9
5,5,77,40.1
1,38,88,38.5
1,23,120,40.2
3,4,78,38.3
2,19,79,39.3
2,29,120,39.6
1,25,93,39.4
2,30,78,38.3
3,2,73,39.1
4,31,107,40.8
3,31,111,38.2
4,42,80,40.7
3,39,89,40.8
1,2,75,39.5
3,35,89,40.3
5,41,102,41
4,16,74,38.6
4,36,120,38.2
5,27,75,40
4,34,114,40.1
1,14,89,39.4
5,11,111,38.8
5,28,84,38.1
1,9,77,40.1
4,33,107,38.1
2,8,95,38.1
2,3,85,40
3,7,104,40.1
5,9,118,38.6
5,26,75,39.1
4,35,75,40.7
2,34,89,38.7
3,20,78,39.5
5,34,100,40.7
3,28,96,40.8
1,25,111,40.3
2,29,114,39.4
1,39,83,39.3
2,27,102,39.6
3,15,101,38.9
3,43,89,38.3
2,40,112,39.2
2,26,84,39.5
3,32,92,39.7
4,37,115,39.6
3,20,82,39.6
5,28,115,40.5
5,8,84,39.5
4,36,110,40.8
5,9,86,40
5,2,79,38
3,24,120,40.9
5,3,92,40.2
1,37,109,39
4,6,75,40.2
3,18,76,40.1
2,18,105,39.2
2,26,78,40.9
2,20,114,39.5
2,32,81,38.6
3,13,120,38.7
5,35,91,38.7
3,26,119,40.6
4,16,87,39
5,17,112,40.1
4,27,74,39.5
5,28,90,40.9
2,36,94,39.2
1,16,92,38.8
3,6,101,39.9
5,31,111,39.2
1,44,113,40.1
4,6,77,40.6
5,36,86,40.9
4,13,77,40.4
4,23,85,40.2
2,5,109,39.9
3,42,78,38.4
2,9,86,40.1
5,19,97,39.1
2,18,111,38.4
2,18,120,39.1
2,5,113,39.6
5,29,105,39.6
1,3,83,39.6
1,33,113,38.8
2,19,107,40.1
5,8,100,38.7
3,31,85,40.4
2,29,90,40.5
4,31,94,39.9
3,35,84,38.3
1,17,116,39.2
5,9,99,39
5,4,77,40.1
4,37,86,38.9
3,3,111,39.4
4,38,117,39.5
1,22,75,40.9
3,42,109,39.7
3,7,111,39.4
4,33,75,38.4
5,44,105,38.9
5,39,100,38.1
1,34,80,40.4
4,3,92,40
5,8,118,40
2,10,97,39.2
4,33,100,39.9
1,43,79,39.9
3,44,89,40.2
4,3,80,38.1
4,15,101,39.5
3,10,112,40.7
2,4,105,38.7
3,44,78,40.1
5,17,82,39.3
4,22,105,39.2
1,25,101,40.2
2,22,83,40.4
4,30,78,40.5
1,39,104,40.7
5,36,73,39.8
3,42,88,38.3
3,40,80,40.5
2,30,104,39.7
2,14,119,40.8
4,43,102,39.1
4,2,103,39.6
1,27,118,40.4
4,1,99,38.8
3,13,76,39.2
1,9,75,38
1,43,109,38.6
4,37,103,39.3
3,42,98,39
5,6,79,39.4
2,14,101,38.3
3,5,73,40.4
5,29,112,38.4
5,43,114,40.1
3,20,75,40.7
2,28,77,38.1
1,37,118,38.1
5,36,76,40.8
3,1,111,40.3
4,9,83,40.4
5,3,99,39.6
2,28,110,39.7
2,38,104,40.4
1,41,108,40.9
1,15,81,40.2
1,39,107,38.2
5,31,111,39.4
3,18,108,39.7
5,41,101,39.8
5,21,112,40
2,28,73,40
2,38,112,39.4
1,10,120,40.1
5,20,111,38.8
1,27,94,38.6
4,8,87,40.9
2,29,109,38.5
2,8,83,40.5
4,19,99,40.5
4,15,73,39.4
5,45,97,39.5
4,30,74,39.5
2,41,112,38.3
1,4,114,39.1
2,18,93,40.2
3,12,75,40.6
5,20,111,40.1
4,20,117,40.9
2,21,89,40.6
5,27,78,39
3,6,118,40.1
4,45,85,39.2
2,42,91,38
5,19,119,40.4
5,5,100,39.3
1,10,116,39.9
5,8,90,38.4
4,30,78,39.5
1,34,83,39.4
4,9,79,38.2
3,24,120,39.6
4,39,85,38.4
2,42,114,38.3
3,27,93,40.7
2,13,119,40
3,11,105,38.8
4,19,95,40.8
2,21,99,40.9
4,2,114,39.6
1,19,112,40.3
4,14,103,38.7
5,20,80,40.9
2,34,88,39.1
3,45,112,40
2,27,74,39.5
3,40,83,40.5
3,29,119,39.6
5,15,110,40.8
5,38,83,40.1
4,11,118,40.8
2,5,90,38.1
3,43,106,39.4
1,23,105,40.7
5,32,120,40
4,36,76,40.9
1,25,115,38.8
5,8,109,38.9
3,39,85,38.7
5,8,110,38.3
4,30,115,40.4
3,10,115,38
4,8,105,39.2
1,30,105,38.5
5,32,92,38.9
1,15,91,40.2
3,24,115,40.9
1,29,101,39.8
2,33,99,40.8
1,44,105,38
2,29,73,38.5
5,25,107,39.7
1,14,87,40.2
1,17,84,39.6
1,24,101,38.2
4,25,111,38.6
5,18,119,40.6
4,45,118,38.3
5,25,108,38.3
4,32,94,39.3
3,2,89,39.2
2,25,89,39.1
5,13,77,41
2,41,113,39.2
2,2,117,39.8
5,7,81,38.5
1,39,119,40.4
5,6,116,38.1
2,5,86,39.7
5,33,95,38.7
4,34,97,39.2
1,24,114,40.9
1,43,112,40.9
3,28,75,39.4
5,27,92,39.6
4,16,109,39.4
1,3,97,38.3
1,43,78,40.4
4,41,110,40.3
1,9,73,40.8
5,36,118,38.8
5,28,92,39.2
3,16,119,40.7
1,12,109,38.9
1,35,76,39.4
5,40,113,40.8
3,19,105,40.4
1,3,82,40
5,36,76,39.6
4,12,109,38.2
4,21,86,40.2
5,2,99,39.9
4,27,118,38.2
1,26,107,39.9
2,38,97,40.8
1,39,101,38.8
4,8,95,38.5
2,7,91,38.6
4,16,103,39.7
5,6,96,40
1,35,88,40.5
2,26,104,39.6
4,26,112,38.7
5,10,92,39.5
4,17,102,39
5,4,104,40.7
4,36,93,39.4
4,16,96,40.4
4,22,118,39.4
4,5,97,40.2
2,39,79,39.7
1,24,107,38.3
2,7,79,38.3
2,25,101,38.6
5,42,89,40
2,34,113,39
3,42,102,39.6
1,28,73,38.8
5,35,79,38.8
2,38,82,38.2
1,28,109,39.7
3,40,88,38.3
1,18,83,40.9
5,45,119,39.3
4,12,109,40.3
3,41,89,40.8
1,40,89,40.6
4,24,76,39.5
5,31,88,39.8
2,39,81,38.7
3,19,82,38.3
2,7,106,40.5
3,25,99,40.1
5,36,115,38.6
3,31,106,39.5
4,22,79,40
5,38,92,38.7
5,14,86,40.2
5,22,73,38.3
5,2,89,40.9
3,44,88,40.5
3,17,91,38.6
1,28,73,38
2,3,89,39.6
3,26,76,38.6
3,39,86,40.4
2,18,110,38.2
2,24,104,40.1
2,41,118,38.9
3,32,87,39.2
5,20,76,38.3
5,6,97,38.6
3,43,85,38.8
1,19,110,38.7
5,37,109,38.3
5,14,78,40.6
1,18,112,39.2
4,22,114,38.5
3,6,85,38.9
5,42,76,40
2,38,89,40
1,17,105,40.8
3,17,114,38
4,30,86,40.3
3,44,114,39.7
3,41,114,39.9
2,4,105,38.7
2,16,110,38.2
2,36,94,38.1
2,2,86,39.9
2,15,101,40.2
3,4,83,39.7
3,22,91,40.9
3,37,118,39.6
1,11,73,40.4
3,27,111,38.9
5,30,112,38.7
3,33,107,40.5
4,10,83,38.5
1,37,102,38.7
2,7,104,40.2
2,24,82,40.8
1,18,81,38.4
4,35,101,40.8
4,7,116,39
3,38,100,40
5,32,103,38.6
2,42,89,40.7
2,4,83,40.9
4,40,93,38
1,29,113,39.7
5,24,119,39.8
1,19,91,38.2
5,39,75,40
1,1,110,39.6
2,7,100,41
3,14,73,39.7
4,34,83,40.1
2,14,116,38.2
5,6,108,39.1
2,22,109,41
2,10,116,38.2
2,7,83,38.1
1,27,82,40.2
4,36,90,39.6
3,3,118,39.3
4,10,77,38.3
2,21,115,39.7
1,22,113,39.3
3,24,82,39.5
3,18,97,39.2
5,24,114,39.9
1,41,111,39.3
4,43,107,38.8
5,12,119,40.1
4,36,119,38.1
3,12,90,40.2
3,2,74,40.3
5,37,106,40
2,8,104,38.8
4,38,77,39.7
5,19,78,38.7
5,43,117,38.6
2,40,80,39.3
5,2,78,40
1,6,78,39.3
5,45,90,38.8
4,8,109,38.7
1,37,77,39.3
3,40,91,39
1,20,116,40.8
2,15,103,38.4
1,41,115,39.8
4,21,102,39.4
5,8,83,39.4
1,34,116,40.2
2,45,94,38.4
5,11,93,38.8
5,16,78,39.7
3,17,89,40.8
5,29,112,38.8
1,25,81,39.7
4,12,117,40.9
4,30,111,40.5
2,5,81,40.7
3,27,105,39.9
4,29,84,40.7
3,27,99,38.5
3,14,81,39.3
5,12,104,39.1
5,1,103,39
3,13,114,40.9
2,30,77,39.5
2,41,116,39.8
3,36,94,40.5
5,41,120,39.1
4,41,111,38.2
2,14,90,39.7
5,22,84,39
2,37,92,40.9
3,41,113,40.7
2,24,118,39
4,38,103,39.6
5,26,87,39.7
5,20,108,38.9
5,37,100,40.5
1,37,104,39.5
5,35,98,38.2
5,34,116,40
1,19,92,40.6
5,13,81,38.2
2,14,95,40.9
4,2,76,40.1
1,25,104,40
1,32,94,39.9
5,29,99,38.2
3,31,75,39.6
1,15,120,39.5
5,22,101,39.9
3,8,75,40.3
4,31,87,38.3
3,30,108,39.1
2,19,116,39.3
5,45,89,39.8
3,8,98,40.5
3,12,99,41
3,20,97,38.5
4,37,105,39.9
1,5,74,39.2
5,3,77,39.5
1,28,111,40.8
4,36,86,40.9
4,13,106,39.5
1,14,83,39.1
4,33,101,39.1
1,23,103,39.2
1,13,96,40.4
4,2,92,39.2
5,42,103,38
1,4,114,40.2
5,43,78,40.7
4,38,80,39
5,22,89,40.7
5,1,100,38.2
4,3,92,39.1
2,20,104,40.4
4,31,117,38.8
2,27,99,38.4
3,39,83,39.1
5,23,79,38.4
1,15,109,38
4,38,102,38.8
2,19,118,38.3
3,7,99,40.6
1,9,117,40.4
3,22,83,38.7
4,34,119,40.9
5,3,102,38.9
1,30,118,40.9
5,18,100,39.4
4,31,79,40.2
2,1,89,39.6
5,25,94,39.9
1,12,118,39.6
5,32,90,39.8
4,7,88,39.9
4,22,79,39.6
3,12,101,38.5
3,45,84,38.8
4,31,108,40.8
5,32,96,40.8
5,38,86,40.5
4,12,105,39.1
4,10,80,39
1,16,79,39.8
2,4,99,38.9
1,25,81,40.5
4,19,107,38
1,3,112,39.4
3,21,74,40.9
2,38,114,39.4
5,27,106,38.7
2,40,92,38
4,2,93,41
4,3,93,39.6
3,8,88,38.4
3,28,119,38.9
3,41,83,38.9
4,37,99,38.8
3,14,89,40.3
4,6,98,39.4
2,37,98,39.9
5,11,117,38.3
4,32,82,40.6
5,23,92,39.4
5,2,94,40.2
5,27,79,38.2
1,34,76,39.2
3,37,98,38.4
1,13,92,39.8
3,12,74,38.8
5,27,108,38.1
3,26,95,38.5
1,6,116,38.2
2,39,82,39.9
4,15,93,39.5
4,10,85,39.2
3,36,120,38.7
1,24,100,39.8
4,11,87,38.2
1,25,75,39.8
5,24,87,39.3
5,25,120,39.6
3,10,104,40.7
4,9,84,40.7
3,13,88,40.3
3,17,100,39.1
5,18,85,40.2
2,9,99,38.3
4,6,109,39.5
1,38,108,38.7
4,11,80,39.5
2,40,76,40.1
3,16,73,40.6
5,29,84,40.1
1,26,86,40.5
3,29,78,38.7
3,25,75,39.8
3,23,115,38
3,3,109,39.1
2,38,105,39.2
3,33,114,41
3,37,119,40.5
4,44,101,38.6
5,37,104,38.8
2,37,115,39.7
3,39,100,38.4
5,18,82,40.4
2,15,115,40.9
2,6,80,38.8
2,34,108,39.2
3,16,90,38.2
3,25,74,38.9
4,21,75,39.2
5,33,112,39.3
4,3,112,41
1,37,111,39.3
2,9,120,40.3
1,38,97,39.4
2,33,117,38.9
3,44,80,40.1
3,4,80,40
3,32,112,38.6
5,21,81,38.1
5,8,82,39.5
1,37,109,39.1
3,42,95,39.7
1,3,113,39.5
2,32,98,39.7
3,34,91,38.4
1,10,105,38.6
1,28,85,39.3
3,39,113,39.9
3,26,79,40.5
5,28,73,39.6
3,45,118,40.4
5,36,80,40
5,37,87,38.7
5,9,96,40.7
2,20,120,38.8
4,28,94,38.9
1,11,106,38.3
3,25,76,38.4
4,44,113,40.1
1,43,76,38.6
3,41,92,39.4
3,27,104,39
4,16,77,40.1
2,3,88,40.9
4,30,75,39.7
4,6,102,39.5
1,39,111,39.1
5,1,87,40.5
1,13,94,38.3
2,18,84,38.7
2,13,118,38.2
3,21,82,39.5
2,11,105,39.6
1,19,79,40.6
1,22,75,40.4
5,11,96,38.9
3,17,85,38.9
5,35,96,40
4,7,97,38.2
1,25,78,38.2
3,28,118,40.4
3,41,88,40.4
2,15,119,39.7
3,4,115,40.9
3,6,99,40.9
5,30,81,38.1
2,45,101,39
2,45,80,38.7
2,43,119,39.4
4,25,95,39.2
5,37,113,41
5,45,111,39.2
5,38,111,40.6
5,5,96,40.1
1,9,80,40
1,35,89,40.5
1,10,89,40.3
3,2,104,39
2,38,73,39
1,37,108,39.2
3,8,107,39.9
3,26,88,40.8
2,18,79,39.4
5,43,97,40.7
3,21,93,40.1
1,27,79,39
4,45,80,38.5
1,42,117,40.8
2,22,92,40.4
3,44,102,41
1,3,81,38.9
1,32,107,40.8
1,7,98,39.1
5,14,120,39.7
2,16,92,39.1
1,33,75,40.5
4,15,93,39.7
2,15,85,40.2
4,36,119,40.4
4,33,94,38.4
3,44,90,40
1,10,120,40.6
3,28,105,38.1
5,21,86,40.1
